,easting,northing,distance,ramco_2m_air_temperature_kelvin,ramco_total_precipitation_mm_water_equivalent,ramco_runoff_mm_water_equivalent,ramco_snowmelt_mm_water_equivalent,ramco_sublimation_mm_water_equivalent,bedmachine_ice_surface_elevation_masl,bedmachine_ice_thickness_m,bedmachine_bed_elevation_masl,arcticdem_10m_ice_surface_elevation_masl,arcticdem_32m_ice_surface_elevation_masl,promice_velocity_mperday
0,-504423.48179293657,-1192430.3917612443,0.0,254.64312794098404,168.14742241480448,-6.626541590899783e-08,88.575395006241,5.559628386667114,1435.0685508590766,752.2439361940687,682.8246146650071,1458.5376159199657,1458.552897053905,0.006299387796199349
1,-504432.268943996,-1192425.6079026023,10.004988653298165,254.64322757496464,168.1856100236601,-6.879594994800938e-08,88.59894370432639,5.559130723528514,1435.0045634508404,752.0933258973848,682.9112375534553,1458.5414919183524,1458.5253949965734,0.006295258359860297
2,-504441.0211922643,-1192420.7604818684,20.00997730659633,254.6433254554714,168.22334154730862,-7.13837834781242e-08,88.62246419752952,5.55865274622248,1434.941299580676,751.945165156884,682.996134423792,1458.5345898308083,1458.4925709584077,0.006291215077896797
3,-504449.7391246468,-1192415.8516087318,30.014965959894496,254.64342165886382,168.26062833526424,-7.402797946728113e-08,88.6459547534398,5.558193347931543,1434.8790978171528,751.7994084707368,683.0796893464155,1458.4235090877373,1458.4504680131608,0.0062872565134488335
4,-504458.42349549884,-1192410.8835995495,40.01995461319266,254.64351626878124,168.29748377652012,-7.672742515767476e-08,88.66941381193058,5.5577513215481815,1434.8182269674182,751.6560033864787,683.1622235809396,1458.342573051686,1458.3946929843526,0.00628337978196746
5,-504467.07579005155,-1192405.859931058,50.02494326649082,254.64360940573067,168.33393118269078,-7.948041738866976e-08,88.6928402085135,5.5573249405358975,1434.758880194835,751.5148739518102,683.2440062430244,1458.3852340734418,1458.321180502965,0.006279578905903773
6,-504475.6967512,-1192400.7826767615,60.02993191978899,254.64370114790356,168.36998288606236,-8.22857673690891e-08,88.71623267151814,5.556913084567043,1434.7011604368788,751.3759655314877,683.3251949053912,1458.2481456499952,1458.2327329115953,0.0062758489002903645
7,-504484.28789755725,-1192395.6551322942,70.03492057308715,254.6437916122692,168.40566170957425,-8.514166972115874e-08,88.73959035759114,5.556514087822015,1434.6450855868056,751.239199403668,683.4058861831373,1458.026208388387,1458.140324550807,0.006272181449142027
8,-504492.8507510321,-1192390.4804737477,80.03990922638532,254.64388091304727,168.44099001838313,-8.804628179812225e-08,88.7629125853817,5.556126329331875,1434.5905835020317,751.1044964104508,683.4860870915805,1458.052771917622,1458.0519161657276,0.0062685670210656085
9,-504501.38627867843,-1192385.2608617144,90.04489787968348,254.64396913343572,168.4759821120462,-9.099812119093664e-08,88.78619855566349,5.555748631295725,1434.537492665263,750.9717937260297,683.5656989392337,1458.0737954873473,1457.9715063812403,0.006264996402539125
10,-504509.8965335639,-1192380.0001428772,100.04988653298165,254.64405641003975,168.51066686779697,-9.399488585096429e-08,88.8094480905441,5.5553790668150596,1434.485574854503,750.8409964859645,683.6445783685384,1457.8925343318751,1457.8971492314795,0.006261457918819655
11,-504518.38290129177,-1192374.7009736882,110.05487518627982,254.64414284272775,168.5450635866327,-9.703471676356915e-08,88.83266082945617,5.5550162327700034,1434.4345171456932,750.7120300663465,683.7224870793467,1457.7813667611601,1457.8253867937483,0.0062579456672460605
12,-504526.84683292045,-1192369.366040144,120.059863839578,254.6442285326457,168.57919216016091,-1.0011566893512285e-07,88.8558365428236,5.554658712394243,1434.3839478731581,750.5848185378434,683.7991293353148,1457.7286449145238,1457.7545727108547,0.006254454136416615
13,-504535.29016597796,-1192363.9985637744,130.06485249287616,254.64431359808648,168.61307740718038,-1.0323549082021258e-07,88.8789753028565,5.554304852611296,1434.33345373749,750.4592755678811,683.8741781696089,1457.6796739293375,1457.6834421692968,0.006250976621532432
14,-504543.7142012643,-1192358.6008489013,140.0698411461743,254.64439812858754,168.646736609487,-1.0639227037734627e-07,88.9020769862596,5.553953408914597,1434.2825968561535,750.3353316072131,683.9472652489403,1457.6756577080089,1457.6099152127374,0.006247507835246921
15,-504552.12062173773,-1192353.1757400169,150.07482979947247,254.64448223076755,168.680191962841,-1.0958379529196493e-07,88.92514175349997,5.553602901225708,1434.2309410096543,750.2129072325309,684.0180337771234,1457.6246588916151,1457.5325398548325,0.006244041288235818
16,-504560.51105974976,-1192347.7259437058,160.07981845277064,254.64456600683184,168.7134647458593,-1.1280785677227504e-07,88.94816981200762,5.553251915864346,1434.178077372276,750.0919259634366,684.0861514088394,1457.459292019034,1457.4526977232126,0.006240570510884551
17,-504568.88675934786,-1192342.2535219423,170.0848071060688,254.64464953846044,168.74657086070408,-1.160624786843054e-07,88.97116120365297,5.55289933046033,1434.1236545127435,749.9723240877041,684.151330425039,1457.3473272102513,1457.3749478955208,0.0062370900265579475
18,-504577.24949200725,-1192336.7613042383,180.08979575936695,254.64473293132193,168.77953307714142,-1.1934529575424438e-07,88.99411633134649,5.552543690990294,1434.0674155851093,749.8540242982342,684.2133912868748,1457.2582865131833,1457.303871644818,0.006233592723598683
19,-504585.6006645031,-1192331.2515236621,190.09478441266515,254.64481627189357,168.81236915024715,-1.2265416230639925e-07,89.01703543021443,5.55218381582418,1434.0093199300234,749.7369541288605,684.2723658011627,1457.1942564993587,1457.241556689161,0.006230072422357327
20,-504593.9416554455,-1192325.7263410566,200.09977306596332,254.6448996439567,168.84509634063383,-1.2598692380162474e-07,89.03991875401525,5.55181856462349,1433.949646700996,749.6210306559078,684.3286160450882,1457.1518066470694,1457.1843099099967,0.006226522920750513
