,easting,northing,distance,racmo_2m_air_temperature_kelvin,racmo_total_precipitation_mm_water_equivalent,racmo_runoff_mm_water_equivalent,racmo_snowmelt_mm_water_equivalent,racmo_sublimation_mm_water_equivalent,racmo_snowdrift_mm_water_equivalent,heat_flux,bedmachine_ice_surface_elevation_masl,bedmachine_ice_thickness_m,bedmachine_bed_elevation_masl,arcticdem_10m_ice_surface_elevation_masl,arcticdem_32m_ice_surface_elevation_masl,promice_velocity_mperday,measures_velocity_mperyear,racmo_total_mass_loss,racmo_mass_balance
0,-509409.34499609825,-1190682.0623561498,0.0,254.775179159373,190.93449609133899,5.835252557168084e-07,99.30898854740634,4.107344174441609,23.19084473530567,-8.716278754995244e+30,1406.494753873019,738.4457002800237,668.0490535929953,1429.1077035922417,1429.012305242096,0.00401299969515556,14.335617341452027,-4.107343590916353,195.04183968225533
1,-509418.59998455783,-1190678.2621140177,10.004835546372883,254.77521893963134,190.97207792372458,5.606810040172978e-07,99.3226445490507,4.107038554925182,23.190263737898654,-8.768810215248481e+30,1406.4586692665741,738.3443600042298,668.1143092623444,1429.0860144909998,1428.9769960122671,0.0039921050724464075,14.345051739651415,-4.107037994244179,195.07911591796875
2,-509427.8670598585,-1190674.4914430485,20.00967109274577,254.775257907669,191.0099251469971,5.377421438891011e-07,99.33629579565415,4.106732455243658,23.18968956269966,-8.821434307927532e+30,1406.4204910402832,738.2430850234076,668.1774060168757,1429.0148668466375,1428.9573126184268,0.003972868357592577,14.354497601034192,-4.106731917501514,195.1166570644986
3,-509437.14644542866,-1190670.75117006,30.014506639118647,254.7752961455641,191.04804339520368,5.147208631440136e-07,99.34994603510837,4.106424660224274,23.18912346297034,-8.874152370692934e+30,1406.3796806268635,738.1418724938804,668.2378081329836,1428.904073501171,1428.9420068559343,0.003955379466854637,14.363960469878045,-4.106424145503411,195.1544675407071
4,-509446.4383245082,-1190667.0420437795,40.01934218549154,254.77533373312968,191.0864375903073,4.916290575184407e-07,99.36359889301812,4.106114001825017,23.188566618609613,-8.926965515455317e+30,1406.3357598702528,738.040719546698,668.2950403235549,1428.992920182792,1428.9195485753714,0.003939728510596074,14.373445118714313,-4.10611351019596,195.19255110050327
5,-509455.74283889,-1190663.3647289877,50.024177731864434,254.77537074776683,191.12511189665287,4.6847825480639044e-07,99.37725786378117,4.105799362668846,23.18802013417887,-8.979874620722739e+30,1406.2883108230626,737.9396236660241,668.3486871570386,1428.9898427251173,1428.8845728505519,0.003926005697874771,14.382955577454224,-4.105798894190592,195.23091079084347
6,-509465.06008799706,-1190659.71980106,60.029013278237315,254.77540726432997,191.16406967986427,4.452795391973945e-07,99.39092630248558,4.105479679335599,23.187485037326585,-9.032880325836368e+30,1406.2369757993013,737.8385828038618,668.3983929954394,1428.9191575325908,1428.838034877465,0.003914301242775596,14.39249516143973,-4.10547923405606,195.26954891392032
7,-509474.39012830134,-1190656.1077409736,70.03384882461019,254.7754433550048,191.20331347062378,4.2204347661532766e-07,99.4046074177017,4.105153945375651,23.186962277638514,-9.085983027132711e+30,1406.1814581841986,737.7375954229158,668.4438627612831,1428.7905336216895,1428.7845450397149,0.0039047052731934757,14.402066104075672,-4.1051535233321745,195.30846699395596
8,-509483.73299230257,-1190652.5289812621,80.03868437098308,254.7754790904662,191.24284536071602,3.9878035937426416e-07,99.41830432994742,4.104821186712451,23.18645276228614,-9.139182985226111e+30,1406.1215227087641,737.6366602347686,668.4848624739957,1428.7218748262483,1428.7284674289717,0.0038973077766088996,14.411666652031597,-4.104820787932092,195.3476661486481
9,-509493.0886347965,-1190648.983762005,90.04351991735598,254.77551453626262,191.2826657888702,3.7549926243004944e-07,99.43201988607606,4.104480539906632,23.185957254252354,-9.192480019296733e+30,1406.0569950721003,737.5357770751872,668.5212179969137,1428.5892379547456,1428.6723746566472,0.0038921984219136454,14.421293192865404,-4.104480164407369,195.38714595327755
10,-509502.4569794043,-1190645.4722462047,100.04835546372885,254.7755497557315,191.32277453056318,3.5220870657896213e-07,99.4457568085172,4.104131189832475,23.185476459086544,-9.245873770699246e+30,1405.9877612866699,737.4349462333197,668.5528150533505,1428.5608376561474,1428.617217882094,0.003889466210568079,14.43094241203839,-4.104130837623768,195.42690536818694
11,-509511.8379201733,-1190641.9945209736,110.05319101010171,254.77558481002765,191.363170713548,3.28916631840696e-07,99.45951769629447,4.103772369289395,23.185011027615715,-9.299363711674045e+30,1405.9137665588935,737.3341684556598,668.5795981032338,1428.7123217863646,1428.5623859243535,0.0038891621031210623,14.440611330659548,-4.103772040372763,195.46694275392076
12,-509521.231349329,-1190638.5506699388,120.05802655647463,254.7756197599242,191.40385343155276,3.056308431743147e-07,99.47330511632705,4.103403320109787,23.184561608643822,-9.352949302921952e+30,1405.8350138436083,737.2334445124039,668.6015693312045,1428.5448122088253,1428.506227456405,0.003891264356633941,14.450297383394954,-4.1034030144789435,195.5072564460317
13,-509530.6371715085,-1190635.1408122615,130.0628621028475,254.77565466676447,191.44482207147496,2.823592672090519e-07,99.48712165100724,4.103023272372273,23.1841288764128,-9.406630074622424e+30,1405.7516002642246,737.132774463453,668.6188258007719,1428.3877632939354,1428.4487183793924,0.0038957398506118106,14.459998459852514,-4.103022990013005,195.54784506148798
14,-509540.055302419,-1190631.7651005029,140.06769764922038,254.7756895923818,191.48607629269463,2.5910994860143534e-07,99.50096989315776,4.102631445870326,23.183713528489285,-9.460405618945475e+30,1405.6642256418613,737.0321508186298,668.6320748232314,1428.3669440142235,1428.3941283839665,0.003902551839696146,14.469712900925286,-4.1026311867603775,195.58870747945502
15,-509549.4856669872,-1190628.4237169356,150.07253319559328,254.77572459898445,191.5276159936341,2.3589103458651944e-07,99.51485243913527,4.1022270524058895,23.18331628265918,-9.514275579642757e+30,1405.573965967891,736.9315603382067,668.6424056296845,1428.2947100678066,1428.3477439797664,0.003911660022487499,14.479439486608097,-4.102226816514855,195.62984281014894
16,-509558.9281974918,-1190625.116869583,160.07736874196615,254.775759749034,191.56944127643388,2.1271075580083309e-07,99.52877188173456,4.101809298213151,23.182937873751385,-9.568239641513054e+30,1405.4818039693698,736.8309896281828,668.6508143411876,1428.377883827143,1428.312440934786,0.003923020614202801,14.48917741702661,-4.101809085502396,195.67125036193627
